Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
11/2/2021,Wind,6192,12,13,306
11/11/2022,Wind,3461,7,8,315
10/26/2021,Solar,5605,12,13,299
9/22/2022,Wind,399,19,20,265
5/11/2025,Solar,4563,13,14,131
1/28/2022,Wind,2439,1,2,28
11/20/2022,Wind,9228,10,11,324
7/12/2022,Wind,4082,1,2,193
11/24/2024,Wind,22929,12,13,329
2/1/2020,Wind,9131,4,5,32
11/6/2024,Wind,189,5,6,311
10/28/2021,Wind,6796,9,10,301
10/22/2020,Wind,5144,12,13,296
3/10/2022,Wind,6808,0,1,69
11/3/2021,Wind,3819,5,6,307
12/8/2024,Wind,16670,2,3,343
6/3/2020,Wind,631,5,6,155
6/27/2020,Wind,9506,11,12,179
6/4/2021,Wind,1527,3,4,155
11/17/2020,Wind,2667,22,23,322
10/21/2021,Wind,11321,8,9,294
8/19/2021,Wind,940,23,0,231
6/4/2020,Wind,2918,23,0,156
8/14/2023,Solar,7955,11,12,226
5/13/2024,Wind,2321,3,4,134
8/11/2024,Solar,5870,16,17,224
5/4/2021,Wind,13322,7,8,124
4/26/2025,Solar,4018,11,12,116
1/21/2020,Wind,3303,18,19,21
11/2/2021,Wind,2311,19,20,306
7/29/2023,Wind,3618,1,2,210
5/21/2023,Wind,4686,8,9,141
2/7/2025,Wind,9119,18,19,38
7/25/2022,Wind,10186,11,12,206
10/16/2024,Wind,11196,16,17,290
1/11/2022,Wind,2621,18,19,11
4/19/2024,Wind,6475,2,3,110
7/28/2024,Wind,6281,23,0,210
4/5/2025,Wind,8043,18,19,95
1/4/2022,Wind,9372,20,21,4
7/6/2023,Wind,1028,4,5,187
3/22/2024,Wind,7326,23,0,82
1/16/2024,Wind,2207,9,10,16
5/8/2024,Wind,3372,20,21,129
1/26/2025,Wind,19633,19,20,26
7/20/2020,Wind,3155,7,8,202
3/2/2024,Wind,11147,1,2,62
5/17/2021,Wind,15419,13,14,137
9/22/2024,Wind,3577,4,5,266
7/18/2021,Wind,5140,3,4,199
3/20/2020,Wind,7700,15,16,80
4/14/2025,Wind,5469,23,0,104
2/19/2020,Wind,7659,7,8,50
11/21/2021,Wind,556,4,5,325
10/25/2023,Wind,10951,10,11,298
7/16/2023,Wind,5612,19,20,197
7/22/2020,Solar,3790,12,13,204
3/8/2024,Wind,10506,1,2,68
12/10/2020,Wind,3341,14,15,345
6/19/2022,Wind,7096,8,9,170
10/23/2024,Wind,5480,20,21,297
6/11/2024,Wind,2863,23,0,163
9/9/2021,Wind,1689,5,6,252
6/11/2020,Wind,5051,15,16,163
6/7/2024,Wind,1976,4,5,159
3/26/2024,Wind,8226,23,0,86
2/9/2022,Wind,4407,9,10,40
2/15/2025,Wind,5334,20,21,46
4/28/2021,Wind,857,6,7,118
8/27/2020,Solar,4553,11,12,240
10/1/2024,Wind,6398,7,8,275
5/21/2021,Wind,9704,0,1,141
12/5/2021,Wind,4707,22,23,339
8/1/2022,Solar,6729,14,15,213
9/18/2022,Wind,4648,23,0,261
1/14/2025,Wind,2738,4,5,14
1/4/2025,Wind,4819,9,10,4
8/23/2020,Wind,3074,20,21,236
12/11/2022,Solar,4059,11,12,345
7/5/2024,Wind,3591,2,3,187
7/12/2021,Wind,3055,10,11,193
12/4/2022,Wind,1267,18,19,338
9/29/2023,Wind,10069,15,16,272
10/6/2024,Wind,7982,10,11,280
2/27/2023,Wind,11622,20,21,58
6/6/2021,Wind,2047,7,8,157
4/6/2022,Wind,13616,17,18,96
1/29/2025,Wind,13601,14,15,29
10/30/2024,Wind,3374,21,22,304
6/14/2024,Wind,11508,18,19,166
2/5/2024,Wind,7217,19,20,36
11/16/2020,Wind,9712,2,3,321
11/3/2025,Wind,14275,12,13,307
5/28/2023,Wind,9225,22,23,148
1/24/2020,Wind,628,22,23,24
2/4/2022,Wind,6025,5,6,35
1/2/2020,Wind,5346,18,19,2
8/30/2022,Wind,5425,0,1,242
11/29/2025,Wind,5241,0,1,333
5/14/2025,Solar,7025,10,11,134
12/25/2024,Wind,1698,2,3,360
9/16/2024,Solar,8063,11,12,260
6/13/2020,Wind,3116,2,3,165
5/26/2025,Solar,10578,10,11,146
1/29/2022,Wind,8062,9,10,29
8/29/2021,Wind,3373,7,8,241
8/17/2023,Wind,2138,4,5,229
11/1/2021,Wind,6650,16,17,305
4/27/2025,Solar,4171,13,14,117
3/25/2020,Wind,7278,20,21,85
11/13/2025,Wind,10055,13,14,317
10/29/2022,Wind,8680,9,10,302
5/12/2025,Wind,2071,3,4,132
12/26/2021,Wind,2979,18,19,360
11/27/2022,Wind,6949,5,6,331
6/10/2025,Wind,4337,19,20,161
1/14/2020,Wind,13956,11,12,14
4/19/2025,Wind,4692,14,15,109
10/16/2022,Wind,3203,4,5,289
11/8/2025,Solar,5483,12,13,312
6/3/2023,Wind,7045,0,1,154
12/21/2022,Wind,5289,4,5,355
8/15/2022,Wind,2354,6,7,227
6/14/2025,Wind,2617,21,22,165
11/11/2021,Wind,904,19,20,315
4/2/2024,Wind,9355,19,20,93
12/3/2024,Wind,6322,0,1,338
8/18/2021,Solar,4153,10,11,230
2/18/2022,Wind,6361,0,1,49
6/15/2020,Solar,3227,9,10,167
6/6/2020,Wind,5774,3,4,158
10/31/2022,Wind,3071,6,7,304
8/2/2023,Wind,18182,18,19,214
6/8/2023,Wind,4578,6,7,159
4/21/2024,Wind,10808,15,16,112
11/2/2025,Wind,11230,9,10,306
1/11/2023,Wind,15390,22,23,11
3/19/2020,Solar,3951,11,12,79
8/17/2025,Wind,6183,8,9,229
8/7/2020,Wind,2021,6,7,220
11/22/2025,Wind,8243,9,10,326
9/4/2025,Wind,6876,5,6,247
7/22/2020,Solar,2606,10,11,204
4/26/2021,Wind,9366,3,4,116
8/19/2021,Wind,1485,4,5,231
10/25/2022,Solar,5213,14,15,298
4/6/2020,Wind,6188,9,10,97
7/8/2023,Solar,8194,15,16,189
5/10/2020,Wind,2276,10,11,131
1/17/2020,Wind,9434,1,2,17
1/10/2024,Wind,2524,9,10,10
